Question,Answer 1,Answer 2,Answer 3
Time When You Exchange Gifts,Christmas,Birthday,Anniversary
Something You Wish Couples Wouldn’t Do In Public,Fight,Feed Each Other,Baby Talk
Name A Place That While On Vacation Might Be Difficult To Find A Bathroom,Car,Camping,Boating
Structure Named For Dead People,Monument,Library,Bridge
What In Your House Would You Most Be Upset To Find Out Your Dog Chewed Up,Shoes,Furniture,Carpet
Which TV Characters Might You Also See Disneyland,Mickey Mouse,Goofy,Donald Duck
Name The Object That Has The Most Germs In Home,Toilet,Phone,Door Knob
Something You Get Free At A Casino,Food,Drinks,Entertainment
Something People Design For A Living,Clothes,Buildings,Furniture
Person Young Boys Have A Crush On,Teacher,Babysitter,Girl Next Door
"Name A Flavor Kid’s Toothpaste Come In, But Adults Doesn’t",Bubblegum,Cherry,Grape
Name Something A Motorcycle Has That A Bicycle Doesn’t,Motor,Gas Tank,Headlight
Name Something Some Women Wear Too Much Of,Make Up,Perfume,Jewelry
Tell Me Something You Do While Trying On Shoes To See If They Fit,Walk,Wiggle Toes,Lace Them
Something On Top Of Most Birthday Cakes,Candles,Frosting,Lettering
"Name Something You Wear At The Beach, But Not At Grocery",Swim Suit,Towels,Life Jacket
"Name Something That Starts With L, That Everyone Wants",Love,Luck,Looks
Tell Me Something That You Never Intend To Buy At The Store But Always End Up With,Junk Food,Clothes,Magazines
Tell Me Something You Might Scrape Off Bottom Shoes,Gum,Poop,Mud
"Other Than Books, What You Check Out At Library",Movies,Magazines,Music
Something You Fold,T Shirts,Towels,Paper Airplane
Name Bad Reason For Picking A College,Party School,Friends Are Going,Parents Pressure
"Name A Place Where People 50 Years Ago Dressed To Go, But People Today Dress Casually For",Church,Movie Theater,Restaurant
Way To Remove Hair,Wax,Pull Out,Shave
Hobby That Would Make You Go Broke Quickly,Gambling,Collect Cars,Shopping
What Would A College Kid Do Right Before Parents Visit?,Clean,Homework,Shower
Something Specific People Do In Front Of Mirror,Singing,Speech,Smiling
Animal You Would Refuse To Pet Sit For,Lion,Tiger,Snake
Name Something A Groom Hate To Lose Before Wedding,Ring,Bride,Tux
Another Word For Long Underwear,Long Johns,Thermals,Union Suit
Name Something You’re Advised To Wear In Order To Look Slim,Black,Girdle,Vertical Stripes
Sign That Girlfriend Is Turning Into A Cat,Purring,Meows,Whiskers
Name A Complaint Next-Door Neighbor Might Approach With,Noise,Dog,Yard
What 3 Words Cause Argumentative Person Stop Fighting,I Love You,I Am Sorry,You Are Right
Name Something A Couple Shouldn’t Do Until They Have Known Each Other For A Long Time.,Become Intimate,Get Married,Live Together
Tell Me A Celebration You Wish Would Last All Year,Christams,Birthday,New Years
Name Something That Would Soothe An Upset Stomach,Pepto Bismol,Milk,Tums
Name A Stripey Animal,Tiger ,Zebra ,Cat 
Name Something People Shouldn't Eat If they Have Braces,Toffee ,Chewing Gum ,Nuts 
Name Something You Put Around Your Neck,Necklace ,Scarf ,A Pen 
Name A Drink You Might Drink From The Bottle,Water ,Beer ,Milk 
Name A Fruit That Starts With The Letter P,Pear ,Pineapple ,Pomegranite 
Name A Type Of Hat,Top ,Bowler ,Cowboy / 10 Gallon 
Name A Famous City That Features In A Song,New York ,Vienna ,London 
Name A Profession That Makes People Laugh,Tax Inspector ,Politician ,Comedian 
Name Something A Waitress Should Never Be Without,Pen / Pencil ,Notepad ,Manners 
How Long People Hold Their Breath For Before They Turn Blue,2 Mins ,3 Mins ,5 Mins 
Name A Talent A Beauty Contestant Might Demonstrate,Singing ,Dancing ,Juggling 
What Is the Worst Part About Going to The Beach,Sand In Toes ,Bad Weather ,Insects 
Name A Problem People Have With Contact Lenses,Dry Eyes ,Putting Them In ,Taking Them Out 
Name A Household Item That Has Lots Of Germs,Cloth / Sponge ,Toilet ,Worktop 
Other Than Water Name Something People Use To Put Out A Fire,A Fire Extinguisher ,Blanket ,Sand 
Name Something People Worry About When Speaking In Front Of A Group,Stutter ,Forgetting Lines ,Breaking Wind 
An Aisle In A Supermarket Where You Spend A Lot Of Time,Fruit & Veg ,Drinks ,Home Entertainment
Name An Animal That Has Fangs,Tiger ,Bat ,Snake 
Name A Fruit That People Might Add To Jelly,Strawberry ,Orange ,Lemon 
Name Something You Might See Tied to the Roof Of A Car,Christmas Tree ,Suitcase ,Matress 
Name A Type Of Food That Often Gets Burned,Toast ,Pizza ,Sunday Roast 
Name An Animal That Has Large Eyes,Owl ,Bush Baby ,Ostrich 
Name Something You Might See In The Amazon Forest,Trees / Branches ,Rain ,Snakes 
Name Something That People Have Trouble Opening,Jars ,Their Hearts ,Windows 
Name An Excuse People Give For Not Voting,Makes No Difference ,Too Busy ,Dont Care 
Name Something You Colour,Colouring Book ,Your Hair ,Clothes 
Name Something People Put In Gardens To Attract Birds,Treat ,Bread ,Nuts 
Name Something You Might Win At A Fairground,Bear ,Goldfish ,Elephant 
Name Something You Might Take To The Beach On A Hot Day,Suntan Lotion ,A Dingy ,Cold Drinks 
Name Something You Buy From A Shoe Shop,Shoes ,Polish ,Insoles 
Name Something A Shop Might Use To Catch Shoplifters,CCTV ,Security Guards ,Tags On Items 
Name Something A Plane Can't Fly Without,Wings ,Fuel ,A Pilot 
Name An Animal Little Boys Use To Frighten Little Girls,Snake ,Spider ,Bat 
Name Something You Hate Getting In The Post,Bills ,Junk Mail ,Leaflets 
Name A Reason Why Your Stomach May Hurt,Overeating ,Indigestion ,Cramp 
Name The Worst Thing About Being On Noah's Ark,Overcrowding ,The Smell ,Allergic To Animals 
Name A Way You Can Tell If A Person Has A Cold,A Runny Nose ,Sneeze ,Coughing 
Name Something That Gets Plucked,Eyebrows ,Chicken ,Turkey 
Name Something You Put In A Frame,Snooker Balls ,Criminal ,Picture 
Name Something You're Sure To Run Out Of If You Have Teenagers,Food ,Money ,Patience 
Name Something People Buy For Their Feet Apart From Shoes,Socks ,Insoles ,Laces 
Name The Hardest Part Of A Persons Body To Keep Clean,Feet Or Toes ,Back Side ,Ears 
Name A Good Job For Someone Who Likes To Take Care Of People,Nurse ,Care Assistant ,Child Minder 
Name A Reason You Might Get A Late Night Call From Someone,Emergency ,Death In The Family,Wrong Number 
Name An Animal That People Ride,Camel ,Hippo ,Horse 
Name Something A Person Does During Lunch Besides Eat,Go For Walk ,Shopping ,Sleep 
