Question,Answer 1,Answer 2,Answer 3,Answer 4
What Might A Babysitter Want To Know,Pay,How Many Kids,Hours,Ages Of Kids
Name Something You Have Seen Added To Jello,Water,Fruit,Whipped Cream,Alcohol
"What Might A Tv Not Work Without,",Remote Control,Power,Cable,Antenna
"Past Or Present, Name A TV Couple Whose Marriage You Don’t Want To Emulate.",Al/ Peggy Bundy,Homer/Marge Simpson,RoseAnn/ Dan Conner,Archie/Edith Bunker
In What State Would You Like To Retire,Florida,California,Hawaii,Arizona
In Which Profession Wear Sweat Pants,Gym Teacher,Personal Trainer,Janitor,Babysitter
Name A Sign Of Aging That Is Attractive,Gray Hair,Wrinkles,Wisdom,Baldness
Name Famous Department Store In New York City,Macy,Saks,Bloomingdales,Barneys
Where Do You Put Presents So They Aren’t Found Before Given,Closet,Attic,Under Bed,Basement
Name A Place People Cram Into,Elevator,Car,Public Transit,Bathroom
Safety Advice Parents Give Kids,Don’t Talk To Strangers,Look Both Ways,Wear Helmet,Be Careful
Place Hot Dogs Are Often Served,Fair,Fast Food,Street Corner,Beach
Animal You Would Not Want To Encounter Hanging From Tree,Snake,Monkey,Bat,Bear
"Name Something People Used To Do At A Younger Age, That Nowadays They Do When They’re Older",Get Married,Drink,Work,Become Parents
Name A Bug Keeps You Up All Night In Bedroom,Cricket,Fly,Mosquito,Bee
Something Kid Wouldn’t Want To Tell Mom About School Day,Fight,In Trouble,Bad Grade,Being Bullied
Something Kids Get Excited About Long Before It Happens,Trip,End Of School,Christmas,Birthday
Name Event Your Loved Ones Might Travel To Attend,Wedding,Funeral,Graduation,Birthday
Name A Monster Some People Believe Exists No Evidence,Big Foot,Loch Ness,Yeti,Boogeyman
Something Cowboy Wears Makes Him Sexy,Hat,Jeans,Chaps,Boots
Who In Your Life Surprised To Get Text From,Parent,Ex,Grandparent,Boss
Name Something That New Orleans Wouldn’t Be Same Without,Mardi Gras,Music,Food,Bourbon Street
Name Something Many People Do In Response To Compliment,Say Thank You,Blush,Smile,Brush It Off
Name Something A Parent Reminds Kid Use At Summer Camp,Toothbrush,Sunscreen,Soap,Bug Spray
Name A Gift You’D Likely Get Housewarming Presents,Plant/ Flowers,Dessert,Wine,Candle
Name Something Tasty That’s Used To Decorate Christmas Cookies,Icing,Sugar Sprinkles,Chocolate Chips,Candy
Something Popcorn Is Covered With,Butter,Salt,Caramel,Cheese
Name A Dessert That’s Made With Strawberries,Shortcake,Pie,Sundae,Cheesecake
Something Scientist Has Lots Of,Test Tubes,Brains,Beakers,Chemicals
Name An American City That Has Its Own Accent,New York,Boston,Dallas,Chicago
What Do You Do The Night Before A Big Job Interview,Sleep,Practice Responses,Pray,Clothes
Which Holiday Should We Have Day Off,Halloween,Valentines,Birthday,Columbus Day
How Do You Find Proper Directions If Lost,Map,Ask Someone,Gps,Compass
Man Do On First Date To Be Husband Material,Open Door,Pay,Bring Flowers,Cook Dinner
What Might Date Do To Make You Think You Have Bad Breath,Turn Away,Not Kiss,Breath Mint,Cover Nose
Something About Current Job Better Than Former Job,Pay,Boss,Hours,Co-Workers
Name Something A Parent Wants To See Baby Do 1St Time,Walk,Talk,Smile,Crawl
Name Something You Can Find In Wallets,Cash,Drivers License,Photos,Credit Cards
Name A Reason Why Big City Bad Place For A Marathon,Traffic,Smog,Too Many People,Crime
Tell Me Something People Do To Brace Themselves While Getting A Shot,Close Eyes,Hold Breath,Look Away,Cringe
Name A Reason Why Parents Want Know Sex Of Baby,Clothes,Name,Decorate Room,Curious
Occupation Where You Would Be On Phone All Day,Telemarketer,Operator,Secretary,Customer Service
Something Bride And Groom Do That Others Should Not At Wedding,Kiss,Say Vows,Cut Cake,Dance To First Song
Something People Make For Babies Instead Of Buying,Baby Food,Clothes,Blanket,Diapers
Name Something You Never Leave Unlocked,Car,Safe,House,Diary
Name Something People Cheat On,Test,Partner,Taxes,Diet
Name Something You Expect To Find In A Modern Home,TV,Computer,Microwave,Dishwasher
Something Politician Would Hate To Come Out About Past In News,Affair,Criminal Record,Drug use,Divorce
Name A Topic People Might Whisper About.,Their Love Lives,Infidelity,Rumor,Divorce
"If An Auctioneer Had A Baby, What Are First Words?",Sold,Going Once…Gone,Bid,Do I Hear
Name A Talk Show You Might Go On Tell About Disaster Wedding,Oprah,Jerry Springer,Maury,Dr. Phil
Where You Would Go Out In Costume Not On Halloween,Party,Mardi Gras,Bar,Drama Performance
Name Something Not Valid Unless It’s Signed,Check,Credit Card,Contract,Drivers License
Name Something A Housekeeper Does Cleaning Hotel Room,Make Bed,Sing/ Play Radio,Vacuum,Dust
Who Is A Child’s Most Anticipated Visitor?,Santa,Grandparent,Tooth Fairy,Easter Bunny
Something Women Do More Gracefully Than Men,Dance,Walk,Age,Eat
Name A Coffee Drink That’s Easy To Mispronounce,Latte,Mocha,Cappuchino,Espresso
Name Something You Might Leave On All Night,TV,Lights,Clothing,Fan
Name Common Mistake People Make When Taking Pictures,Out Of Focus,Leave Lens Cap On,No Flash,Finger In Picture
Name Something That Gets Pulled Around In A Sled,Kids,Santa Claus,Gifts,Firewood
What Would Be Surprised To Happen Riding Stationary Bike,Fall Off,Start Moving,Crash,Flat Tire
Name Something You Find Left In The Washer,Socks,Change,Lint,Food
What Sounds Do Children Listen For On Christmas Eve,Sleigh,Santa,Reindeer,Footsteps
Name Animal That Makes Pretty Sound,Cat,Whale,Dolphin,Frog
Name A Type Of Glove That Is Not Used For Warmth,Surgical,Boxing,Baseball,Gardening
Name A Specific Event People Create Photo Album,Wedding,Birth,Vacation,Graduation
Name Someone You Would Hate To Send Personal Mail,Boss,Parent,Ex,Grandparent
Something In House That Needs To Be Replaced Regularly,Light Bulbs,Batteries,Toilet Paper,Groceries
Something You Do Differently For Job Interview,Speak,Dress,Sit,Hair
Which Actress Gets Most Love Letters,Angelina Jolie,Jennifer Aniston,Julia Roberts,Halle Berry
What Might Someone Promise To Do If They Wanted Elect President,Lower Taxes,World Peace,Create Jobs,Healthcare
What Would You Do If A Group Of Carolers Come To House,Sing,Listen,Shut The Door,Hide
Something You Hope Vampire Leaves At Home On A Date,Fangs,Cape,Coffin,His Thirst
Something Woman Do To Show Affection A Man Rarely Does,Kiss,Cuddle,Hug,Hold Hands
Name A Specific Sign Of Affection Woman Wants From Husband,Kiss,Hug,Flowers/ Gifts,Holding Hands
"On Family Feud, Name Something Host Asks Players About",Family Name,Job,Age,Hometown
"Other Than Sheets, Something On Bed",Pillows,Blanket,Teddy Bear,Hot Water Bottle
Name A Book Where The Main Hero Is A Kid,Harry Potter,Peter Pan,Tom Sawyer,Huck Finn
Name Something Teens Do To Butter Parents Before Asking A Favor,Do Housework,Compliment Them,Say I Love You,Hug Them
How Can A Kid Get A Bully To Stop Picking On Them,Fight Back,Tell Adult,Stand Up To Them,Ignore Them
Why Might Parents Wait Until After The Baby Is Born To Give It A Name?,Find Out Sex,Looks,Personality,Indecisive
Other Than Teeth Something People Use Toothbrush To Clean,Toilet,Shoes,Floor,Jewelry
"Name An Item You Wouldn’t Buy Online, See In Real Life",Car,Clothes,House,Jewelry
Name A Famous Set Of Sisters,Pointer,Williams,Olsen,Judd
We Asked 100 Women “I’d Notice____Missing From My Purse”,Money,Makeup,Cell Phone,Keys
Place You Might Go Quickly In Pajamas,Store,Gas Station,Mailbox,Kids School
Name A City Where A Movie Car Chase Never Be Filmed,New York,Venice,Los Angeles,Las Vegas
Name A Nursery Rhyme Character With Bad Luck,Humpty Dumpty,Jack/ Jill,Red Riding Hood,Lil Bo Peep
"At The Video Arcade, What Might Your Date Do To Make You Mad",Forget Money,Always Win,Cheat,Lose A Lot
Name Something Used To Make Yourself Smell Better,Perfume,Soap,Deodorant,Lotion
"Other Than Paper, Name Something A Kid Might Scribble On",Wall,Desk,Skin,Magazine Ad
Name A Place Where You Need An Appointment,Doctor,Dentist,Hair Salon,Mechanic
Teen Nervous On 1st Date,Kissing,Holding Hands,Making Conversation,Meeting Parents
Something People Lie About In Personals,Age,Appearance,Weight,Money
Animal Many Magicians Own,Rabbit,Bird,Tiger,Monkey
"Name A Household Chore That A Kid Would Find Fun, But An Adult Would Put Off",Dishes,Vacuuming,Dusting,Mopping
"Marriage About To Fail, What Do You Do To Save It",Counseling,Talk,Vacation,More Time Together
Which Piece Of Technology Would People Have The Hardest Time Giving Up?,Cell Phone,Computer,TV,Mp3 Player
Name Something Kids Must Be Asked Over And Over,School,Age,Clean Room,Name
Something Kid Looks Forward To At Beginning Of New School Year,Teachers,New Books,New Friends,New Clothes
Name A Reason Why A Child You Don’t Know At Your Door,Selling Cookies,Lost,Halloween,Newspaper
What Are The Advantages Of Having An Air Guitar Rather Than a Real Guitar?,No Noise,Cheaper,Lightweight,No Mistakes
Name A Word Or Phrase That A Lifeguard Might Yell,Shark,Stop,Get Out,No Running
Name Something A Teen Might Get In Trouble Doing In A Photo,Bunny Ears,Stick Out Tongue,Funny Face,Not Smiling
Vegetable That Starts With Word Sweet,Potato,Corn,Pea,Onion
"Name A Food That Usually Tastes So-So, Fantastic Once Fried",Chicken,Potatoes,Fish,Onions
Name A Famous Marilyn Monroe “Wannabe”,Madonna,Anna Nicole Smith,Christina Aguilera,Pamela Anderson
Name Something A Batchelor Might Turn Inside Out,Shirt,Underwear,Socks,Pants
Name a Fast Food That’s Often Served As A Main Course At Weddings.,Chicken,Steak,Fish,Pasta
Food Often Served With Wine,Bread,Cheese,Meat,Pasta
Name Something On Payday You Do After Work,Shop,Drink,Cash Check,Pay Bills
Something You Are Glad Is Prohibited On Most Airlines,Smoking,Weapons,Cells Phones,Pets
What Is The Most Valuable Thing In Wallets?,Money,Identification,Credit Cards,Photos
Name A Food That Pregnant Women Crave.,Pickles,Ice Cream,Chocolate,Pizza
Name A Type Of Map,Road,World,Treasure,Political
Name Something That’s Not As Great When In Its Minature Form,Car,Candy Bar,Golf,Poodle
What Have You Done To A Crush You Hope They Never Find Out,Spied,Love Note,Lied,Prank Called
Something People Imagine They Would See On Every Corner In Hollywood,Actors,Bright Lights,Palm Trees,Prints In Sidewalks
"In A Spelling Bee, What Might A Kid Ask About A Word Before Spelling It?",Definition,Origin,Use In A Sentence,Repeat It
Which Board Game Is Most Challenging,Monopoly,Chess,Scrabble,Risk
Name Something That Happens During A Commute And Makes You Late For Work,Traffic,Accident,Breakdown,Road Work
What Might A Daring Thrill Seeker Suggest Do On 1st Date,Skydive,Bungee Jump,Roller Coaster,Rock Climbing
Put In Backyard If You Have Children,Swing,Pool,Fence,Sandbox
What Might A House Have That Makes Trick/ Treaters Afraid Approach,Scary Decorations,Dog,No Lights,Scary Music
Name A Large Animal That Many People Are Afraid Of,Bear,Lion,Tiger,Shark
Name Something A Father/ Son Might Have The Same,Name,Eyes,Hair,Shirt
What Might A Fan Ask Of Their Favorite Musician For If They Met In Person,Autograph,Picture,Kiss,Sing A Song
Name Something You’D Hate See Your Date Wear To Symphony,Jeans,Shorts,Cap,Sneakers
Another Word Or Phrase Means Kiss,Smooch,Peck,Sugar,Snog
Which Sesame Street Character Uncomfortable In Their Costume,Big Bird,Oscar,Cookie Monster,Snuffy
Name Something That’s Given As A Free Sample In Stores,Food,Perfume,Lotion,Soap
"If You Wanted To See Date In Less Clothing, Where Go?",Beach,Pool,Dance Club,Spa
Something Rich Person Might Have More Of Than They Need,Cars,Clothes,Houses,Space
Name Way To Get Into Car If You Leave Keys Inside,Break Window,Locksmith,Coat Hangar,Spare Key
Something Rude People Do While Smoking,Blow Smoke In Face,Eating,Throw On Ground,Spit
"Name A Talent Can’t Be Learned, Born With",Singing,Dancing,Drawing,Sports
Who Do You Like To Know Is Available In Case Of Emergency,Doctor,Police,Mom,Spouse
What Type Of Vehicle Might A Family With Lots Of Children Want To Own?,Van,SUV,Bus,Station Wagon
Name Something That An Overprotective Parent Might Forbid Teen To Do,Dating,Driving,Playing Sports,Staying Out Late
Somewhere You Might Stop On The Way To Work,Gas Station,Coffee Shop,Fast Food,Store
"Name Something You’d Do At A Family Christmas Party, That You Shouldn’t Do At The Office Christmas Party.",Get Drunk,Show Affection,Sing / Carol,Swear
Job Around The House Couple Might Take Turns Doing,Dishes,Laundry,Cooking,Take Out Trash
Name Authority Figure Whose Role Makes It Hard To Imagine Them Letting Loose On A Date,President,Police Officer,Judge,Teacher
Name A Type Of Product Comes In Teeth Whitening Formula,Toothpaste,Gum,Mouthwash,Teeth Strips
Soemthing Strapped To Family’s Car On Vacation,Luggage,Bikes,Boat,Tent
Name A Method Of Communication That Should Not Use Break Up,Phone,Email,Letter,Text Message
Name A Disadvantage To Living Upstairs From A Restaurant,Smells,Noise,Bugs/Rodents,Traffic/Cars
"Name A Mode Of Transportation That You See In Big Cities, But Not In Small Towns",Subway,Bus,Taxi,Train
Name A Good Reaon To Live Near In-Laws,Babysitting,Eat Over,Close For Holidays,Visit Often
