Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6
For Which Items Do People Wait In Long Lines To Purchase At The Holidays?,Toys,54,Electronics,17,Video Games,12,Food,8,Food,8,Clothes,5
Name An Occupation That Would Never drive A Small Car.,Bus Driver,35,Trucker,34,Limo Driver,13,Fireman,5,Postal delivery,4,Construction Worker,3
Name A Skill That A Person’s Resume Might Claim They’re Better At Than They Really Are.,Typing,28,Working Hard,23,Communication,20,Sales,6,Customer Service,5,Foreign Language,5
Name A Christmas Show That Is On TV Every Year.,Rudolph,25,Christmas Story,15,Frosty,12,Grinch,11,A Wonderful Life,10,Home Alone,3
Name A Place Where Most Americans Go At Least Once For Vacation,Disneyland/World,45,Hawii,35,Las Vegas,6,Mexico,5,Grand Canyon,4,New York City,4
Tell Me Something You Try To Avoid Hitting While Sledding Down A Hill,Tree,44,Rock,28,Bump,10,People,9,All/Fence,4,parked Car,3
Name Something Specific A Student Might Do In Oder To Become The Teacher’s Pet,Bring An Apple,42,Get Good Grades,21,Brown Nose,10,Do Extra Credit Work,9,Raise Hand Often,5,Sit In Fornt,5
What Time Is The earliest You’re Willing To Get Up On A Saturday?,10,34,8,32,9,13,11,6,Noon,5,7,4
A What Place Would You Not want To Be Seated Next To Someone With An Annoying Laugh,Movies,38,Airplane,27,Church,13,Comedy Club,8,Restaurant,5,Bus,5
Name Something You Are Embarrassed To Do In Front Of People At The Gym,Change Clothes,33,Shower,25,Pass Gas,16,Run,11,Stretch/Bend Over,6,Dance,3
Tell Me Something About A Boy’s Appearance That Might Make his Date’s Disapprove Of Him,Long Hair,28,Tattoos,27,Inappropriate dress,20,Piercings,17,Dirty/Unkempt,3,Facial Hair,3
Name Something A Child Might Carry Along Everywhere,Blanket,27,Toy,26,Teddy Bear,22,Doll,15,Bottle,5,Pacifier,3
Which Former President Would Look Funny Wearing A Dress?,George W Bush,35,William Clinton,23,Abe Lincoln,19,Richard Nixon,12,George Washington,5,Ronald Reagan,3
Name Something Your Spouse Might Get Mad At You for Doing Too Much,Talking,27,Shopping/Spending,21,Drinking,18,Sleeping,16,Spending Money,9,Watching TV,6
What Kind Of Gift Would You Get Somebody That Spends A Lot Of Time At The Beach,Towel,45,Bathing Suit,17,Sun Screen,10,Umbrella,10,Sunglasses,8,Beach Chair,7
Name Something Millionaires Might Shop For Just For Fun,cars,71,Clothes,10,Houses,9,Jewlery,3,Plane,3,boat,3
Name An Item Stores Probably Have A Hard Time Selling After Christmas,Trees,37,Ornaments,19,Toys,11,Lights,8,Wrapping Paper,7,Christmas Cards,4
Name Something You Do In Front Of A Mirror You Wouldn’t Want Anyone To See,Pop A Zit,14,Look At Your Body,9,Dance,8,Undress,6,Pluck eyebrows,6,Clip Nose Hairs,6
Name Something That You Can Tell Is Fake In A Cheesy Movie,Blood,50,Love Scenes,13,Scenery,12,Acting,10,Monsters,6,Fight Scenes,5
Name Something Your Likely To Find At A Fall Harvest Fair,Pumpkins,39,Corn,20,Leaves,18,Apples,12,People,5,Hay Rides,3
"name A fear parents Have For Their Child, When She Moves Out Of The House",Money,35,Drugs,23,Death,14,Safety,11,Coming Back,10,Lonely,5
"When Sitting Close To A Date, What Clue Might They Give That They Like ",Holds Your hand,28,kisses You,25,Smiling,21,Arm Around You,12,Move Closer,7,Looking At You,5
Name An Instance When You Fake A Smile,Having A Photo Taken,34,Hear A Bad Joke,18,Job Interview,13,Upset,12,Meeting New People,12,Nervous,4
Name A Sign You’re At A Really Cheap Birthday party,No Cake,22,No food,17,No Decorations,7,No favors,6,No Presents,5,No cards,3
Name Something That Young Children Memorize,Alphabet,62,Spell Their Name,13,Phone Number,8,Address,4,Nursery Rhymes,4,Pledge Of Allegiance,3
Name Something A Hobo Does To Pass His Time While Ridin’ The Rails,Sleep,33,Sing,24,Drink Alcohol,19,Eat,7,Talk,5,Read,3
"Other than Acting, Name A Profession That Celebrity Actors Might Take Up",Singing,61,Directing,11,Modeling,10,Fashion design,9,Politics,3,Spokeperson,3
What Might A Rock Star Do At A Concert Hall That prevents Him Form Getting Hired Again,Trash The Place,30,Drink To Much,28,Swear,18,Strip,6,Not Show Up,5,Start A Fire,4
Name Something You Should Never Wear As The Guest At Someone’s Wedding,White Dress,28,All black,24,Shorts,15,Jeans,12,Cap,5,T Shirt,3
"Name Something Men In Fairy Tales Fight Against, That Real Men Don’t",Dragon,47,Ogre,24,Witch,13,Monster,8,Beast,5,Trol,3
Name A Movie Or TV Show That Has The word ‘Diary/Diaries’ In The Title,…Mad Black Woman,29,Diary Of Ann Frank,26,Princess Diaries,19,Bridgette Jones’,9,Diary Of A Wimpy Kid,8,Vampire Diaries,6
We Asked 100 Married people: After How Many Did You Know Your Partner was The one?,3,23,5,21,1,18,2,17,10,14,4,5
"If A group Of Senior Citizens Formed A Punk Rock Band, What Might Their Songs Bark About",Young People,34,Medicine/Health,32,Dentures,12,Getting Old,12,Fixed Income,7,Aches and Pains,3
Name A Job Where It Would Be Okay To Yell At Work,construction,43,Sports,31,Teacher,8,Police,6,Stock Broker,5,Auctioneer,4
Name A Sport In Which Participants Use A Specific Kind Of Headwear,Football,36,Hockey,18,Baseball,18,Swimming,10,Wrestling,5,Boxing,5
What Do People Do That Could Get Them Kicked Out Of A Museum,touch The Art,33,Run,15,Steal,14,Yell,12,Bring Food In,10,Break Something,5
Name Something That often Has Magical Powers In fairy Tales,Wand,34,Witch,24,Fairy Godmother,18,Wizard,12,Fairy Dust,4,Broom,4
Name Something A Child Might Never Do If They weren’t Forced To,Brush Teeth,27,Eat Vegetable,18,School/Homework,17,Bathe,11,Go To Bed,10,Clean,10
Name Something That it’s Hard To Do While Listening To Music,Read,30,Have A Conversation,27,Watch TV,18,Study,11,Fall Asleep,7,Concentrate,3
Name An Expression That Ends With The word “House”,Fullhouse,12,Whitehouse,12,Brickhouse,7,Outhouse,6,Open House,4,Crack House,3
"aside From Animals, Name Something People Hunt For.",bargains,38,treasure,16,Easter Eggs,14,Lost Keys,11,Job,8,Dates,7
name Something A Celebrity Hopes Won’t Happen While On Stage To Accept An Award,Fall,43,Forget Speech,22,Loose Voice,11,Faint,6,Cry,4,Drop Award,3
Name Something You Do In A Booth,Kiss,17,Talk On Phone,16,Have Picture Taken,15,Vote,14,Sell Tickets,12,Eat,6
name something You Often Feel Sleepy while Doing,Reading,48,Driving,27,Watching Tv,10,Working,5,Homework,4,Eating,3
Name A Reason Your Bathroom Is Better Than An Outhouse,Running water,18,Cleaner,15,Inside,12,No Smell,9,Heated,9,Flush Toilet,6
Name A Job Where Employees Must get Tired Arms,Construction,29,Movers,24,parcle Delivery,18,Hair dresser,12,Traffic Cop,5,Food server,4
Name A Specif Food That Someone With High Cholesterol Might give Up,Eggs,36,butter,14,Bacon,14,Fired Chicken,12,Pizza,11,French Fries,10
