Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Tell Me The Age When Boys Stop Playing With Stuffed Animals (Numeric Only).,7,22,8,19,10,15,5,11,6,10,4,9,3,8
Tell Me The Most Number Of People That Could Squeeze Into A Telephone Booth (Numeric Only),5,19,3,17,2,15,10,13,4,11,20,11,6,10
At What Age Is It OK For A Child To Walk Home From School By Themselves?,10,35,12,24,13,15,15,7,14,6,9,5,11,5
How Many Pairs Of Pants Does The Average Man Own?,5,19,6,18,7,16,10,14,4,10,15,9,12,4
At What Age Do People Usually Learn To Play Their First Musical Instrument?,10,27,5,16,8,16,12,12,6,12,7,9,13,4
Tell Me The Age At Which Children Start Buying Their Parents Christmas Gifts.,10,26,12,20,8,13,16,11,5,10,14,8,15,7
Tell Me How Much A Room At A Cheap Motel Costs. (Use Money Format $0.00),$30 ,21,$25 ,17,$35 ,16,$20 ,15,$40 ,11,$50 ,9,$15 ,5
Tell Me How Many Times Most Men Get Their Haircut In A Year (Numeric Only),12,26,24,21,10,14,50,9,20,9,52,9,30,8
How Much Do You Expect To Spend If You’re Taking A Date Out For A Nice Dinner? Please Round To Nearest $10.,50,37,100,25,60,7,80,6,90,6,30,5,40,3
"In Minutes, How Long Is Your Commute To Work?",30,29,15,19,20,17,10,13,60,7,5,6,45,5
Tell Me How Much You’d Expect To Pay For A Bottle Of Wine At A Fancy Restaurant.,$50 ,23,$30 ,19,$25 ,14,$15 ,12,$20 ,11,$60 ,8,$100 ,7
What Grade Were You In School When You Developed Your First Crush?,5th,35,1st,24,6th,14,4th,8,7th,7,2nd,4,3rd,4
Name Something A Teen Wouldn’t Be Able To Go Without For A Day.,Cell Phone,50,TV,16,Snacks/Food,11,Video Games,8,Computer,5,Listening To Music,3,A Loan,3
Name A Type Of Professional That You Seldom See Joking Around.,Lawyer,31,Doctor,27,Politician,19,Judge,9,Teacher,4,Police,4,Accountant,3
Name Something You Do More Of When Someone’s Taking A Home Video Of You.,Smile,37,Laugh,22,Talk,16,Hide,10,Wave,5,Pose/Show Off,5,Act Silly,3
"Real Or Fictional, Name A Famous Man With Long Hair",Jesus,41,Fabio,15,Samson,11,Howard Stern,8,George Washington,7,Hercules,7,Albert Einstein,7
Something You’D Hate For Your Date To Be Allergic To,Flowers,26,Perfume/Cologne,22,Me,10,Dinner,10,Chocolates,10,Kissing,5,Alcohol,4
Name Something That Makes An Otherwise Average Person Seem Very Atrractive,Make Up,26,Nice Haircut,23,Great Smile,13,Personality,12,Clothes,8,Money,7,Alcohol,6
Name A Vehicle That You Can Hear Coming Before You See It,Semi Truck,33,Train,29,Motorcycle,12,Police Car,10,Ice Cream Truck,6,Bus,4,Ambulance,3
Name Something Specific You Often Run Out Of Space To Write On,Check,26,Greeting Card,20,Post It Note,16,Hand,10,Envelope,10,Notebook Page,10,Application,4
What Would You Do In A Job Interview That Would Guarantee You Don’t Get The Job.,Chew Gum/Candy,28,Lie,20,Pass Gas,20,Swear,11,Smoke,9,Sleep,5,Arrive Late,4
"Name Something Kids Get Away With In Schools Today, That They Wouldn’t Have 50 Years Ago.",Talking Back,28,Swearing,26,Cheating,17,Chewing Gum,10,Use Cell Phone,8,Skipping Class,4,Arriving Late,4
Name A Souvenir People Collect That Has A City’s Name On It.,Spoon,20,Shirt,19,Key Chain,18,Coffee Cups,11,Glasses,10,Plates,10,Ashtray,8
"Name A Celebrity From Decades Ago, Who’s Still Thought Of As A Style Icon.",Marilyn Monroe,32,Elvis Presley,31,Twiggy,8,Elizabeth Taylor,6,James Dean,6,Jackie O,5,Audrey Hepburn,3
Name A Country That Is Known For Their Beer,Germany,25,Ireland,19,USA,17,Canada,14,England,9,Mexico,8,Australia,6
Name A Reason Why A Man Might Seem Too Immature To Date,Younger Man,35,Lives With Parents,23,No Job,17,No Car,8,Goofs Around,8,No Money,4,Baby Face,4
Name Something You Try To Get Rid Of That Always Seems To Come Back.,Pimple,26,Men,18,Bugs,16,Cold,12,Boomerang,10,Bad Headache,8,Bad Habit,6
"Unlike “Honey Bun”, Name A Breakfast Food That Doesn’t Make A Good Pet Name",Cereal,27,Eggs,22,Bacon,15,Toast,11,Pancake,10,Donut,6,Bagel,5
"Other Than A Bar, Name A Place Where It’s Common To Get Hit On.",Work/School,33,Party,18,Shopping Center,13,Gym,12,Church,10,Park,7,Beach,6
Name An Animal With A Terrifying Bite.,Snake,23,Dog,18,Shark,18,Lion,17,Tiger,11,Alligator,5,Bear,5
Name Something A Family Uses In Their Home A Robot Family Wouldn’t Need,Food,30,Television,28,Bathroom,8,Dishwasher,8,Microwave,8,Drinks,8,Bed,6
"If You Lived On Sesame Street, Which Character Would Get On Your Nerves?",Big Bird,41,Elmo,19,Oscar,15,Cookie Monster,14,Ernie,4,Grover,3,Bert,3
Why Might Someone’s Phone Number Be Unlisted?,Privacy,35,Famous,17,Avoid Telemarketers,12,Occupation,11,Getting Prank Calls,10,Just Moved,5,Bill Collectors,5
Name A Reason Why Someone Might Not Want Their Phone Number listed In The Phone Book.,Privacy,38,Prank Calls,18,Stalker,13,Telemarketers,13,Ex,6,They’re Famous,5,Bill Collectors,4
Name Something You Might Find On Top Of A Tall Office Building,Antenna,23,Satellite Dish,19,Flag,19,Helipad,13,Lightning Rod,8,Roof,8,Bird,5
Name Something That Can Go Wrong During A First Kiss With Someone,Bad Breath,35,Miss Their Mouth,16,Bump Nose/ Head,12,Cough,8,Sneeze,8,Burp,8,Bite Up,7
Name Something That People Use Less In The Summer Than In The Winter,Coat,43,Heater,29,Gloves,6,Shovel,6,Boots,5,Sweater,5,Blankets,3
Name Something You’d See A Lot Of In California,Beaches,28,Palm Trees,24,Sun,11,Movie Stars,11,Artists,9,Cars,6,Blondes,6
Name A Movie Based On A TV Show Or Skit,Charlie’s Angel,21,Bewitched,16,Wayne’s World,15,Dukes Of Hazzard,14,Brady Bunch,13,Starsky And Hutch,7,Blues Brother,6
"Name An Odor That’s So Distinct, You Know Right Away What It Is",Skunk,22,Garlic,18,Onions,17,Poop,13,Roses,10,Gasoline,8,Body Odor,7
Name A Type Of Club,Golf Club,50,Night Club,22,Gentleman’s Club,8,Club Sandwich,5,Billy Club,5,Country Club,4,Book Club,3
Name A Country Known For Having Beautiful Weather.,United States,27,Mexico,15,Australia,14,Bahamas,12,France,11,Spain,9,Brazil,8
Name a Rowdy Star Who Might Benefit From Going To Charm School,Dennis Rodman,22,Charlie Sheen,20,Paris Hilton,16,Lindsay Lohan,15,Mike Tyson,7,Kid Rock,7,Britney Spears,6
Name The Worst Part About Riding The Bus.,Crowded,30,Stinky,18,Bumpy,12,Noise,12,Takes Longer,7,Hot,6,Bus Fare,6
Name Something A Person Does That Slows Down The Checkout Line At The Supermarket,Use Coupons,30,Talk,20,Write Check,16,Price Check,9,Count Change,6,Read Magazines,4,Buy Too Many Items,3
Name Something You’d Be Afraid To Do By Yourself,Travel,43,Skydive,16,Sleep,12,Swim,10,Walk At Night,6,Watch Scary Movie,6,Camp,4
"Name A Holiday Food People Plan To Avoid, But End Up Eating Anyway.",Pie,28,Turkey,22,Cake,17,Cookies,11,Fruitcake,10,Ham,4,Candy,4
Name A Food That Doesn’t Need To Be Refrigerated,Bread,35,Bananas,16,Cookies,13,Chips,10,Potatoes,8,Cereal,6,Canned Goods,6
Name A Complaint People Have About Their Cell Phones,No Service,21,Dropped Calls,19,Fuzzy Reception,16,Expensive,14,Batteries Die Fast,12,Break Easily,4,Can’t Hear Well,3
Name The Worst Thing To Have To Share With A Sibling,Clothes,33,Bedroom,25,Bed,20,Toys,10,Food,4,Bathroom,3,Car,3
Name Something You Keep In Your Car’s Glove Compartment.,Registration,35,Map,23,Insurance Card,13,Flashlight,12,Gloves,8,Tissues,4,Car Manual,3
Name Something You Associate With Fairy Tales,Princess,40,Fairies,15,Happy Ending,15,Prince,8,Wicked Witch,7,Brothers Grimm,5,Castle,5
Name An Animal With Sharp Teeth,Shark,36,Tiger,20,Lion,18,Dog,11,Bear,7,Wolf,4,Cat,3
What Traffic Signs Describe Your Life Style?,Stop,44,Green Light,17,Yield/Slow Down,13,Dead End,8,Do Not Enter,7,Curves Ahead,6,Caution,3
What Are Some Things Truckers Might Take With Them On A Trip?,Food,27,Map,21,Change Of Clothes,17,Coffee,15,Companion,9,Music`,5,Cell Phone,4
Name A Food Almost Everyone Knows How To Make,Eggs,32,Hamburger,15,Spaghetti,14,Macaroni & Cheese,9,Peanut Butter & Jelly,9,Chicken,8,Cereal,8
"Besides Ice Cream, Name A Food That Can Be Scooped.",Mashed Potatoes,29,Yogurt,25,Cataloupe,11,Cottage Cheese,9,Jello,8,Rice,8,Cereal,6
Name Something People Associate With “A Christmas Carol” By Charles Dickens.,Christmas,24,Tiny Tim,19,Scrooge,18,Bob Cratchit,11,Christmas Tree,9,Ghosts,8,Chains,6
Name Something An Experienced Parent Does Automatically When They Pick Up A Crying Baby.,Rock Them,32,Pat Back,21,Sing Lullaby,11,Feed,11,Hug/Cuddle,9,Bounce Them,7,Change Diaper,4
Name A Game People Play At Picnics,Tag,23,Frisbee,20,Volleyball,17,Horseshoes,12,Football,11,Baseball,9,Checkers/Chess,4
Name A Fruit That People Might Add To Jell-o,Strawberry,20,Apple,18,Pineapple,16,Peach,16,Banana,14,Grape,7,Cherry,5
What Do College Students Do That Annoys Their Professors The Most?,Talk,32,Fall Asleep,18,Skip Class,17,Cheat,13,Text Message,9,Arrive Late,8,Chew Gum,3
Name A Drink Or Food That Can Be Eaten Either Hot Or Cold.,Tea,32,Pizza,29,Coffee,17,Milk,8,Soup,4,Cereal,3,Chicken,3
Name A Food That Would Be Disgusting To Be Fed ‘Romantically’.,Fish,28,Soup,19,Pizza,16,Noodles,12,Hot Dog,8,Ribs,7,Chicken,6
Name An Animal Or Person Who Might Spend Time In A Tree,Tarzan,22,Bird Watcher,21,Monkey,15,Tree Trimmer,12,Bird,9,Firefighter,9,Child,7
"Name A Sympton That Would Cause You To Say, “I Think I’m Coming Down With Something.”",Runny Nose,19,Coughing,17,Fever,14,Sneezing,14,Sore Throat,10,Stuffy Head,9,Chills,6
Name A Food You Eat With Your Fingers,French Fries,24,Chicken,19,Hamburger,17,Cheese,10,Sandwich,8,Pizza,8,Chips,8
Name Something The Doctor Begins To Check As You Get Older.,Heart,34,Prostate,28,Blood Pressure,18,Colon,5,Vision,4,Hearing,4,Cholesterol,3
Which Profession is Least Likely To Have A Wild Night Life After Work,Doctor,36,Police,15,Teacher,11,Lawyer,11,Accountant,9,Librarian,7,Clergy,6
Name Something A Patient Might Do That Would Make A Dentist Complain?,Bite,26,Move A Lot,15,Scream,12,Not Brushing,11,Talk,11,Spit,11,Close Mouth,10
Name Something A Teenager Couldn’t Live Without,Cell Phone,49,Computer,13,Car,12,Music,9,TV,7,Money,6,Clothes,3
What Souvenir Would You Bring Back From Hawaii,Lei,57,Sand,11,Hawaiian Shirt,9,Seashell,6,Grass Skirt,6,Pineapple,4,Coconut,3
Name Someplace Were You’d See A Lot Of People Gossiping,Party,24,Mall,20,Place Of Worship,18,Work,14,School,10,Hair Saloon,5,Coffee Shop,4
"Name Something A King Has, But Most Men Don’t.",Crown,53,Castle,11,Marriage to queen,10,Thrown,6,Riches,6,Servants,4,Command,3
"After A Week Of Camping, What Luxury Oh Home Are You Most Excited To Have Again?",Bed,35,Shower,25,TV,13,Toilet,11,Electricity,4,Air Conditioner,4,Computer,3
Tell Me Something You’d Be Reluctant To Buy From A Rummage Sale,Underwear,51,Shoes,12,TV,10,Food,9,Car,6,Bed,5,Computer,4
Which Quality Do You Think A Boss Looks For First When Hiring A New Employee?,Appearance,27,Honesty,18,Experience,14,Personality,14,Education,10,Intelligence,9,Confidence,5
Name Something You Need In Order To Get A Great Job,Resume,34,Education,30,Experience,13,Good Looks,8,Personality,5,Intelligence,3,Connections,3
Name A Food You Cook For Which You Don’t Need To Read A Recipe,Eggs,34,Rice,19,Mac And Cheese,11,Soup,10,Spaghetti,10,Frozen Pizza,8,Cookies,6
Name A Pasttime More Respectable Than Watching Tv,Reading,39,Exercise,22,Sports,12,Crafts,9,Playing Instrument,7,Listening To Radio,3,Cooking,3
Name A Halloween Costume Adults Wear To Look Sexy.,Nurse,34,Maid,21,Devil,17,Cat,11,Witch,9,Vampire,4,Cop,3
"If There Was A School For Beauty Queens, Name A Skill That Would Be Taught There.",Pageant Walk,30,Winning Smile,16,Make Up Application,16,Pageant Wave,14,Hair Styling,9,Singing,6,Correct Posture,6
Name Something A Man Wouldn’t Want To Have Happen To Him While He’s Giving A Speech,Fly Is Open,25,Burp,15,Get Laughed At,14,Break Wind,14,Being Heckled,10,Stutter,8,Coughing,8
Name A Place That You Wouldn’t Want To Go After Having A Few To Drink,Place Of Worship,32,Work,26,Police Station,13,Home,10,Parents’ House,6,In Laws’ House,3,Court,3
Name An Animal That Associated With Being Dirty,Pig,37,Dog,30,Rodent,10,Skunk,7,Monkey,7,Elephant,4,Cow,3
Name A Kind Of Bell,Liberty Bell,27,Door Bell,22,Church Bell,12,Wedding Bells,9,School Bell,9,Jingle Bells,9,Cow Bell,7
Name A Complaint A Pregnant Women Might Have,Clothes Don’t Fit,24,Back Pain,16,Hungry,14,Tired,14,Morning Sickness,12,Swollen Feet,10,Cramps,7
Name Something Specific Your Partner Did Early In Your Relationship That You Wish They Still Did Now?,Kiss,27,Open Doors,23,Buy Flowers,19,Hug,7,Hold Hands,5,Cook,4,Cuddle,4
Name Something A Woman Might Complain That Her Husband Never Wants To Do,Go Out,24,Clean,18,Be Intimate,4,Cook,12,Talk,10,Shop,5,Cuddle,5
What Word Would You Use To Describe A Very Attractive Person,Hot,28,Beautiful,24,Sexy,17,Pretty,6,Gorgeous,5,Handsome,4,Cute,4
Name Something About Rapunzel’S Hair She Might’Ve Worried About,Length,28,Tangles,17,Falling Out,17,Split Ends,10,Lice,9,Combing It,8,Cutting It,6
Name A TV Gameshow You Think You Have A Good Chance Of Winning,Family Feud,38,Wheel Of Fortune,30,Price Is Right,15,Millionaire,5,Lingo,4,Jeopardy,3,Deal Or No Deal,3
They’ve Cloned A Sheep: Name A Creature They Should Never Clone Because We Already Have Too Many.,Snake,16,Cat,15,Rat,15,Pigeon,15,Human,13,Dog,12,Deer,10
"Name Something You Should Always Keep Secret, Even From Your Partner.",Weight,35,Affairs,25,Dating History,12,Spending,12,Real Age,5,Passwords,4,Diary,4
Name One Word That You Always See On The Covers Of Celebrity Magazines,Divorce,20,Sex/ Affair,17,Star,17,Scandal,16,Hot,11,Pregnant,8,Diet/ Weight,8
"Tell Me Something You Over-Did As A Teenager, That You Can Laugh About Today.",Drinking,26,Hair Styling,20,Going Out/Partying,20,Makeup,9,Eating Junk Food,8,Smoking,8,Dieting/Exercise,4
Name A Reason Your Eyes Might Water.,Cutting onions,37,Crying,23,Allergies,10,Smoke,8,Yawning,7,Sick,6,Dirt,6
