Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5
How Late A Kid Might Stay Up At Sleepover,11,12,1,2,3
We Asked 100 Moms How Much Are You Like Your Mom. Scale 1-10.,10,9,8,7,5
Married People Only: How Many Guests Did You Invite To Your Wedding? Numeric Only Please.,100,20,200,150,300
During Conversation You Might Fake,Laugh,Interest,Smile,Name,Accent
We Asked 100 Singles: Describe Last Date With Movie Genre,Horror,Comedy,Drama,Romance,Action
Name A Job A Robot Not Entertaining Enough,Comedian,Dancer,Singer,Clown,Actor
Name A Job In Which You’d Have An Easy Time Getting Dates,Bartender,Food Server,Model,Dancer,Actor
Name A Comedian That Gets On Peoples Nerves,Carrot Top,Chris Rock,Jim Carrey,Dane Cook,Adam Sandler
Name Something Look For Rental Car Vs Regular Car,Cd Player,Gps,Sun Roof,Gas Mileage,Air Conditioner
Name Something Specific That Causes You Honk Car Horn,Traffic Jam,Cut Off,About To Crash,Slow Driver,Animal
Which Physical Characteristics Would Tell You Someone Is An Alien?,Eyes,Green Skin,Head,Ears,Antenna
Tell Me An Occupation Where You Wouldn’t Wear High Heels,Waitstaff,Medical Worker,Cop,Construction,Athlete
Name Something A Pro Athlete Might Wear That’s Lucky,Socks,Underwear,Jewelry,Shoes,Athletic Supporter
What Might You Buy With Fav Sports Team Logo On It,Hat,Shirt,Jacket,Mug,Ball
Name Something You Might Receive In A Gift Basket,Fruit,Candy,Lotion,Wine,Bath Oil
Name Something You Might Do If You Had A Romantic Day With Partner,Dinner,Picnic,Stay In Bed,Movie,Beach
Circus Animal You Would Hate To Be Trainer For,Lion,Tiger,Elephant,Monkey,Bear
Name Something People Associtae With The 1960S,Hippies,Music,Vietnam,60S Hairstyles,Bell Bottoms
What Did You Do As A Baby That You’re Glad You Don’t Do I Public Anymore?,Cry,Suck Thumb,Bathroom Incidents,Drool,Blanket
Where Might A Cheapskate Take You On A First Date?,Fast Food Restaurant,Movies,Park,Bar,Bowling Alley
Name Something Of Her Mom’s A Kid Might Wear,Shoes,Make Up,Hat,Jewelry,Bra
Complaint Someone Might Have About Paper Boy,Doesn’t Leave On Porch,Skips Them,Wet Paper,Late,Breaks Window
Name A Color That Cars Seldom Come In,Pink,Yellow,Orange,Purple,Brown
Name A Street Name For Money,Cash,Dough,Loot,Green,Bucks
Way To Save Money On Groceries,Coupons,Eat Less,Sales,Buy In Bulk,Buy Generic Brands
Name Key On Computer That Has Word On It,Shift,Backspace,Delete,Tab,Caps Lock
Name Something You Can Test In Store Before Buying,Perfume,TV,Clothes/ Shoes,Computer,Cd
Name A Johnny Depp Movie Everyone Has Seen,Edward Scissorhand,Pirates Of The Caribbean,Sleepy Hollow,Blow,Charlie & The Chocolate Factory
Name A Section Listed On Most Restaurant Menus,Drinks,Appetizers,Dessert,Entree,Childrens Menu
"When Visiting Hometown, Place You Would Definately Visit",Parents House,Mall,School,Bar,Church
Name Something Sold In Checkout Lines,Gum,Magazines,Batteries,Lottery Tickets,Cigarettes
"Name A Place That’s Meant For Kids, But Adults Love It Too",Park,Disney/ Theme Park,Zoo,Chuck E Cheese,Circus
Where Would You Look First If Your Child Was Lost In The Department Store?,Toy Department,Customer Service,Candy Aisle,Restroom,Clothing Department
What Can You Consult When Lost,Map,Gps,Gas Station,Police,Compass
Name Something You Use At Least 20 Times A Day,Phone,Hands,Bathroom,Pen,Computer
Name Something That’s Hard To Cook Well Without Burning,Steak,Eggs,Toast,Chicken,Cookies
Activity Nursing Home Residents Look Forward To,Bingo,Visitors,Playing Cards,Meals,Crafts
