Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
Name Something That Might Physically Happen To Your Body When Scared,Goose Bumps,Sweat,Shake,Wet Pants,Face Gets Red,Heart Beats Fast
"Name Something Some People Wear While Mowing The Lawn, But You Wouldn’t",Shorts,Hat,Bikini,Gloves,Protective Eyewear,Mask
"Besides Jelly, What Else Goes Well With Peanut Butter",Honey,Bread,Chocolate,Crackers,Celery,Jam
Name A Place Where You Might Find A Prediction About The Future,Crystall Ball,Bible,Fortune Cookie,Horoscope,News,Alminac
Name an act of high school rebellion that you cant imagine a kindergartener doing.,Smoke,Fighting,Alcohol/Drugs,Skip School,Swearing,Breaking Curfew
Name Something With A Face,Person,Clock,Animal,Doll,Mask,Coin
Name A Class That Most Students Take In College But Not High School,Psychology,Chemistry,Calculus,Physics,Philosophy,Economics
Name Something You Might Inflate,Balloon,Tire,Raft,Air Mattress,Beach Ball,Ego
Name an ingredient some people would say makes all food taste better.,salt,pepper,sugar,butter,garlic,ketchup
What Do Some Women Say About Men As A Reason For Why They Can’t Get Dates,Good Ones Taken,After Younger Women,Men Are Dogs/Pigs,They Don’t Work,Only Want One Thing,Men Are Immature
Name A Boring Topic That A Person Should Not Talk About On A Date,Work/School,Politics,Weather,Past Relationships,Kids,Money
Name Something A Pilot Tells You On A Cross Crountry Trip That You Bet She Doesn’t Tell Her Kids On The Drive To School,Altitude,Turbulence,Temperature,Look Below,Estimated Time/Arrival,No Smoking
Name something your shampoo promises to do.,Clean,Give You Shine,Add Volume,Stop dandruff,Make Hair Soft,Repair Damage
Name A Place Where You See More Cops Than In A Jail,Donut/Coffee Shop,In A Police Station,At A Mall,At A Concert,In A Parade,Streets/Sidewalk
Name A Christmas Song That Most People Forget Some Of The Words To,Jingle Bells,Silent Night,First Noel,White Christmas,Oh Christmas Tree,12 Days Of Christmas
Name A Place A Housekeeper Usually Forgets To Clean,Under Bed,Closet,Garage,Under Sofa,Windows,Corners
"How Can You Identify The Bad Guy In A Movie, Even Before He Does Anything Wrong",Carries A Gun,Wears Black,Haunting Music,He’s Ugly,Has Facial Hair,Evil Laugh
Name A Food That Goes Bad In Your Fridge,Milk,Cheese,Eggs,Meat,Vegetables,Fruit
