Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7
How Many Times A Mother Changes Newborns Diaper,4,5,6,7,8,10,12
How Old Were You When You Had Your First Crush,10,11,12,13,14,15,16
At What Age Do People Stop Looking Forward To Birthdays?,30,40,50,21,60,18,25
How Much Does The Average Supermodel Weigh?,120,110,100,105,115,95,125
Name Something You Always Forget If You Don’t Write It Down,Phone Numbers,Grocery Lists,Appointments,Pay Bills,Peoples Names,Birthdays,Addresses
Name Something You’D Hate For Your Date To Be Allergic To,Flowers,Perfume,Me,Dinner,Chocolates,Kissing,Alcohol
Name Something You Do Driving But Never On A Driver’s Test,Speed,Eat,Run Red Light,Not Buckling Up,Sing,Cuss,Answer Cell Phone
Name A Food That Is Chocolate Covered,Strawberries,Nuts,Cherries,Ice Cream,Raisins,Pretzels,Ants
Reason Someone Might Send You Flowers,Birthday,Valentines Day,Anniversary,In Love,Sick,Funeral,Apology
Real Occupation A Kid Might Idolize Like Superhero,Fireman,Doctor,Police,Singer,Athlete,Pilot,Astronaut
Name A Us City On The Ocean.,Miami,San Francisco,New York City,Los Angeles,San Diego,Boston,Atlantic City
Name Something You Might Find In A Hospital,Doctors,Beds,Nurses,Patients,Needles,Drugs,Babies
Name Something A Police Officer Needs A Lot Of,Patience,Bullets,Courage,Donuts,Citations,Coffee,Back Up
Name A Sport Shaquille O’Neal Look Ridiculous Competing In,Horse Racing,Hockey,Tennis,Ice Skating,Volleyball,Baseball,Ballet
"After Getting All Dressed Up, Date Is Taking You",Fast Food,Movie,Beach,Park,Zoo,Bowling,Bar
Name Something A Department Store Might Sell Out On A Hot Day,Water,Shorts,Sunscreen,Tank Tops,Fans,Air Conditioners,Bathing Suits
Name Something You Would Do If You Were A Supermodel,Diet,Exercise,Smile,Walk,Travel,Wear Makeup,Be Photographed
Name An Animal That You See On A Motivational Poster,Dog,Lion,Cat,Monkey,Tiger,Eagle,Bear
Name Something People Try To Get Out Of,Work,Jury Duty,Trouble,Traffic Ticket,Jail,Debt,Bed
Name an Article Of Clothing Worn By Both Men And Women.,Jeans,Jacket,T Shirt,Hat,Pants,Earrings,Belts
Name Something Kid Takes If Planning To Run Away,Clothes,Food,Money,Bedding,Toys,Backpack,Bike
"If You Live In A City, Name Ways To Get To Work",Bus,Subway,Taxi,Car,Train,Walk,Bike
Name Famous Gospel Singer,Elvis,Mahalia Jackson,Amy Grant,Aretha Franklin,Yolanda Adams,Kirk Franklin,Bill Gaither
Tell Me A Persons First Name Could Be Man Or Woman,Chris,Terry,Pat,Sam,Sean,Alex,Billy
Name Something You Might Take On African Safari,Gun,Water,Bug Spray,Shorts,Camera,Sunglasses,Binoculars
Tell Me Something You Did In High School Still Do At Work,Sleep,Cheat,Gossip,Smoke,Flirt,Daydream,Bite Nails
"If An Elvis Impersonator Had Rummage Sale, Find?",Wig,Guitar,Sunglasses,Albums,White Pantsuit,Sideburns,Blue Suede Shoes
Name Something In A Submarine Sandwich,Lettuce,Tomatoes,Cheese,Mayo,Ham,Salami,Bologna
Name The Last Person You Go To For Relationship Advice,Mom,Dad,Ex,Brother,Clergy,Mother-In-Law,Boss
Name Something People Keep Money In,Wallet,Bank Account,Piggy Bank,Jar,Pocket,Safe,Bra
"Name Something That, Once You Do It, Neighbors Start Doing It",Mow The Lawn,Plant Flowers,Host Barbeque,Paint The House,Wash The Car,Decorate Holiday,Buy New Car
Name A Profession Where People Go Into Strangers Houses,Plumber,Salesperson,Housekeeper,Police,Real Estate,Electrician,Cable Installer
When A Couple Break Up What Might One Want Back,Clothes,Ring,Music,Pet,Money,House,Car
Name An Inappropriate Place For Couple To Start Smooching,Place Of Worship,Park,Restaurant,Mall,Office,Movie Theater,Car
"Name A Male Comedian, Past Or Present, Known Funny Monologues",Pryor,Letterman,Rock,Stewart,Leno,Seinfeld,Carson
Name Something In Your House Might Get Broken In Wild Party,Lamp,Vase,Glasses,Windows,Table,TV,Chairs
A Mistake Determined Never To Make Again,Get Married,Smoke,Drugs,Not Finish School,Date Wrong Person,Get Pregnant,Cheating
Name A Word Or Phrase Ends In Bone,T Bone,Bad To The,Dog,Back,Wish,Funny,Chicken
"If Santa Claus Had A Christmas Party, Name Someone He Might Invite",Elves,Rudolph,Easter Bunny,Mrs. Claus,Tooth Fairy,Frosty,Children
Name Something Specific You Would Not Eat On Diet,Chocolate,Cake,Candy,Ice Cream,Pizza,Bread,Chips
Name A Product That People Might Buy Only One Brand Of,Groceries,Toilet Paper,Shoes,Car,Toothpaste,Soap,Cigarettes
Which Luxuries Are People Least To Give Up When On A Budget,Food,Car,Cable TV,Cell Phone,Vacation,Shopping,Coffee
Name Something A King Has That Other Men Don’t,Castle,Queen,Crown,Money,Throne,Servants,Command
Name A Job On Your Feet All Day,Food Server,Cashier,Nurse,Doctor,Teacher,Construction,Cook
Activity People Did More Of Before TV,Radio,Talking,Outdoors,Play Games,Writing,Crafts,Cooking
Name A Place Where You’re Asked To Turn Off Cell Phone,Hospital,Movie Theater,Church,Airplane,School,Library,Court
Name Some Place Where Not Allowed To Make Noise,Library,Church,Movie Theater,Hospital,Funeral Home,Theater,Court
What Does Las Vegas Have Per Capita That Other Cities Don’t,Money,Casinos,Lights,Tourists,Hotels,Wedding Chapls,Crime
What Is The First Thing You Would Do After A Fender Bender?,Call Police,Cry,Drive Away,Call Insurance,Get Out Of Car,Pull Over,Curse
Name Something More Difficult To Do With Glasses On,Swim,Exercise,Sleep,Read,Kiss,Drive,Dance
Name Something Or Someone At A Nightclub,Bartender,DJ,People,Drinks,Band,Lights,Dancers
"If You Forgot Your Date’s Name, What Might You Call Them Instead?",Honey,Baby,You,Sweetie,Dear,Miss/ Sir,Darling
Name Something That Jocks In High School Don’t Do Same As Their Peers,Study,Play Sports,Eat,Dress,Walk,Socialize,Date
As Newlyweds Name Something You Disagreed On How To Do,Spend Money,Cook,Children,Household Chores,Show Affection,Communicate,Decorate
Name Something You Might Be Hired To Do For A Wedding,Cater,Music,Take Pictures,Provide Flowers,Plan It,Make The Cake,Decorate
Name Something A Health Nut Order Lunch Without,Meat,Mayonnaise,Dressing,Cheese,Fries/ Chips,Butter,Dessert
